Ngày,Mở,,,,
30/09/2022,"23,825.00",,,,
3/10/2022,"23,835.00",,,,
4/10/2022,"23,872.50",,,,
5/10/2022,"23,835.00",,,,
6/10/2022,"23,875.00",,,,
7/10/2022,"23,885.00",,,,
10/10/2022,"23,890.00",,,,
11/10/2022,"23,887.50",,,,
12/10/2022,"23,935.00",,,,
13/10/2022,"23,965.00",,,,
14/10/2022,"24,105.00",,,,
17/10/2022,"24,135.00",,,,
18/10/2022,"24,340.00",,,,
19/10/2022,"24,450.00",,,,
20/10/2022,"24,455.00",,,,
21/10/2022,"24,555.00",,,,
24/10/2022,"24,855.00",,,,
25/10/2022,"24,850.00",,,,
26/10/2022,"24,855.00",,,,
27/10/2022,"24,830.00",,,,
28/10/2022,"24,850.00",,,,
